Age,Country,EdLevel,MainBranch,Employment,ConvertedCompYearly
18-24 years old,United Kingdom of Great Britain and Northern Ireland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am a developer by profession,"Employed, full-time",31847.0
55-64 years old,Netherlands,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",53703.0
35-44 years old,Romania,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",161109.0
25-34 years old,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",47854.0
18-24 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",118000.0
35-44 years old,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",87250.0
35-44 years old,Germany,Some college/university study without earning a degree,"I used to be a developer by profession, but no longer am","Employed, full-time",
35-44 years old,United States of America,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",
18-24 years old,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Student, full-time;Employed, part-time",
18-24 years old,Brazil,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",10070.0
25-34 years old,Italy,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",91295.0
55-64 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",120000.0
25-34 years old,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",44037.0
45-54 years old,Netherlands,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",6230.0
18-24 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
18-24 years old,Ukraine,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time;Student, part-time",
45-54 years old,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",139628.0
25-34 years old,Canada,"Associate degree (A.A., A.S., etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",181732.0
45-54 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",250000.0
25-34 years old,Jordan,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",
35-44 years old,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
35-44 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",163000.0
18-24 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",9571.0
35-44 years old,Chile,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, part-time",56051.0
35-44 years old,Italy,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",27926.0
25-34 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",105000.0
25-34 years old,Czech Republic,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am a developer by profession,"Not employed, but looking for work;Independent contractor, freelancer, or self-employed;Student, part-time",
25-34 years old,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",48000.0
45-54 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",150000.0
35-44 years old,Turkey,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",
25-34 years old,Netherlands,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",91295.0
25-34 years old,Austria,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am a developer by profession,"Employed, full-time",80555.0
18-24 years old,United States of America,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time;Student, full-time",39520.0
25-34 years old,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",
35-44 years old,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",120000.0
45-54 years old,Italy,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",
18-24 years old,Ukraine,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Student, full-time;Independent contractor, freelancer, or self-employed",167.0
35-44 years old,Canada,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",87231.0
25-34 years old,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",93047.0
35-44 years old,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",163000.0
35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",I am a developer by profession,"Employed, full-time",84076.0
35-44 years old,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",72000.0
45-54 years old,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,"I used to be a developer by profession, but no longer am","Employed, full-time",
25-34 years old,"Venezuela, Bolivarian Republic of...","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",15600.0
25-34 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",92000.0
55-64 years old,United States of America,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",118106.0
25-34 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
35-44 years old,Poland,Something else,I am a developer by profession,"Independent contractor, freelancer, or self-employed",
25-34 years old,Italy,"Associate degree (A.A., A.S., etc.)",I am a developer by profession,"Employed, full-time",32222.0
65 years or older,Denmark,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
35-44 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",215000.0
25-34 years old,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",145000.0
25-34 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",41872.0
35-44 years old,Sweden,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
35-44 years old,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",1000000.0
45-54 years old,United States of America,"Associate degree (A.A., A.S., etc.)",I am a developer by profession,"Employed, full-time",
35-44 years old,South Africa,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",75332.0
18-24 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",98000.0
25-34 years old,Portugal,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",I am a developer by profession,"Employed, full-time;Student, part-time",
25-34 years old,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",
35-44 years old,Austria,Something else,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",
25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",127388.0
45-54 years old,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,I am a developer by profession,"Independent contractor, freelancer, or self-employed",76433.0
35-44 years old,Nicaragua,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",211000.0
35-44 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
35-44 years old,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",
45-54 years old,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",54777.0
35-44 years old,Thailand,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,Switzerland,"Associate degree (A.A., A.S., etc.)",I am a developer by profession,"Employed, full-time",89134.0
45-54 years old,Serbia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",413.0
18-24 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Not employed, but looking for work;Independent contractor, freelancer, or self-employed",
25-34 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
